"PVWatts: Hourly PV Performance Data"
"Requested Location:","20.01, -155.66"
"Location:","Lat, Lon: 20.01, -155.66"
"Lat (deg N):","20.01"
"Long (deg W):","155.66"
"Elev (m):","851.71997070312"
"DC System Size (kW):","2150"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.425"
"Capacity Factor (%)","16.4"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","18","1","0","18","0","0"
"1","1","1","0","0","18","1","0","18","0","0"
"1","1","2","0","0","18","0","0","18","0","0"
"1","1","3","0","0","18","0","0","18","0","0"
"1","1","4","0","0","18","0","0","18","0","0"
"1","1","5","0","0","17","0","0","17","0","0"
"1","1","6","0","0","17","0","0","17","0","0"
"1","1","7","419","30","18","0","152.484","21.626","240117.438","224331.406"
"1","1","8","780","49","19","0","432.484","34.868","720302.563","691892.75"
"1","1","9","899","60","21","0","670.616","46.515","1096279.625","1055202.125"
"1","1","10","956","67","22","0","853.434","54.314","1353610.625","1302453.875"
"1","1","11","952","89","23","1","959.623","52.998","1537555.75","1478492.125"
"1","1","12","965","88","24","1","996.874","55.304","1578107","1517221.75"
"1","1","13","952","87","23","2","950.486","48.767","1557534.5","1497576.875"
"1","1","14","248","286","22","2","504.521","36.625","879206.688","845741.25"
"1","1","15","802","86","21","2","623.827","37.322","1067421","1027402.438"
"1","1","16","0","64","20","2","61.036","21.968","114357.719","101218.922"
"1","1","17","224","30","19","1","97.718","20.231","159230.813","145178.828"
"1","1","18","0","0","18","1","0","18","0","0"
"1","1","19","0","0","18","0","0","18","0","0"
"1","1","20","0","0","18","0","0","18","0","0"
"1","1","21","0","0","18","0","0","18","0","0"
"1","1","22","0","0","18","0","0","18","0","0"
"1","1","23","0","0","18","0","0","18","0","0"
"1","2","0","0","0","18","0","0","18","0","0"
"1","2","1","0","0","18","0","0","18","0","0"
"1","2","2","0","0","18","0","0","18","0","0"
"1","2","3","0","0","18","0","0","18","0","0"
"1","2","4","0","0","18","1","0","18","0","0"
"1","2","5","0","0","18","0","0","18","0","0"
"1","2","6","0","0","18","0","0","18","0","0"
"1","2","7","368","32","19","0","140.988","23.258","222379.734","206983.656"
"1","2","8","714","61","20","1","416.257","31.706","705859.625","677887.625"
"1","2","9","852","74","20","1","658.676","40.089","1113459.75","1071745"
"1","2","10","31","253","21","1","285.738","31.116","512455.188","489998.969"
"1","2","11","32","293","22","2","331.283","30.075","597306","572509.563"
"1","2","12","234","366","22","2","611.312","37.457","1062855","1023002.75"
"1","2","13","153","347","22","2","510.274","35.735","894696.5","860714.813"
"1","2","14","840","111","21","2","804.341","41.876","1361936.25","1310434.25"
"1","2","15","760","98","21","1","613.515","41.369","1029395.563","990750.313"
"1","2","16","0","48","20","1","45.544","22.42","85152.117","72588.961"
"1","2","17","0","9","19","0","8.513","16.246","16373.393","5107.593"
"1","2","18","0","0","19","0","0","19","0","0"
"1","2","19","0","0","19","0","0","19","0","0"
"1","2","20","0","0","19","0","0","19","0","0"
